Title,IR,FlowHt,Const,Var,Sand,Ash,delIR,delFlow
S40A60,1,0,1,0,0.4,0.6,0,0
S40A60,0.9995,0.2,1,0,0.4,0.6,-0.0005,0
S40A60,0.9985,0.205,1,0,0.4,0.6,-0.001,0.58
S40A60,0.997,0.21,1,0,0.4,0.6,-0.0015,0.58
S40A60,0.995,0.215,1,0,0.4,0.6,-0.002,0.48
S40A60,0.9925,0.22,1,0,0.4,0.6,-0.0025,0.53
S40A60,0.9895,0.225,1,0,0.4,0.6,-0.003,0.45
S40A60,0.986,0.23,1,0,0.4,0.6,-0.0035,0.357142857
S40A60,0.982,0.235,1,0,0.4,0.6,-0.004,0.357142857
S40A60,0.9775,0.24,1,0,0.4,0.6,-0.0045,0.357142857
S40A60,0.9725,0.245,1,0,0.4,0.6,-0.005,0.357142857
S40A60,0.967,0.25,1,0,0.4,0.6,-0.0055,0.357142857
S40A60,0.961,0.255,1,0,0.4,0.6,-0.006,0.357142857
S40A60,0.9545,0.26,1,0,0.4,0.6,-0.0065,0.357142857
S40A60,0.9475,0.265,1,0,0.4,0.6,-0.007,0.166666667
S40A60,0.94,0.27,1,0,0.4,0.6,-0.0075,0.166666667
S40A60,0.932,0.275,1,0,0.4,0.6,-0.008,0.166666667
S40A60,0.9235,0.28,1,0,0.4,0.6,-0.0085,0.166666667
S40A60,0.9145,0.285,1,0,0.4,0.6,-0.009,0.166666667
S40A60,0.905,0.29,1,0,0.4,0.6,-0.0095,0.166666667
S40A60,0.895,0.295,1,0,0.4,0.6,-0.01,0.24
S40A60,0.8845,0.3,1,0,0.4,0.6,-0.0105,0.24
S40A60,0.8735,0.305,1,0,0.4,0.6,-0.011,0.24
S40A60,0.862,0.31,1,0,0.4,0.6,-0.0115,0.24
S40A60,0.85,0.315,1,0,0.4,0.6,-0.012,0.24
S40A60,0.8375,0.32,1,0,0.4,0.6,-0.0125,0.06969697
S40A60,0.8245,0.325,1,0,0.4,0.6,-0.013,0.06969697
S40A60,0.811,0.33,1,0,0.4,0.6,-0.0135,0.06969697
S40A60,0.797,0.335,1,0,0.4,0.6,-0.014,0.06969697
S40A60,0.7825,0.34,1,0,0.4,0.6,-0.0145,0.06969697
S40A60,0.7675,0.345,1,0,0.4,0.6,-0.015,0.06969697
S40A60,0.752,0.35,1,0,0.4,0.6,-0.0155,0.06969697
S40A60,0.736,0.355,1,0,0.4,0.6,-0.016,0.06969697
S40A60,0.7195,0.36,1,0,0.4,0.6,-0.0165,0.06969697
S40A60,0.7025,0.365,1,0,0.4,0.6,-0.017,0.06969697
S40A60,0.685,0.37,1,0,0.4,0.6,-0.0175,0.06969697
S40A60,0.667,0.375,1,0,0.4,0.6,-0.018,0.06969697
S40A60,0.6485,0.38,1,0,0.4,0.6,-0.0185,0.06969697
S40A60,0.6295,0.385,1,0,0.4,0.6,-0.019,0.06969697
S40A60,0.61,0.39,1,0,0.4,0.6,-0.0195,0.06969697
S40A60,0.59,0.395,1,0,0.4,0.6,-0.02,0.06969697
S40A60,0.5695,0.4,1,0,0.4,0.6,-0.0205,0.06969697
S40A60,0.5485,0.405,1,0,0.4,0.6,-0.021,0.06969697
S40A60,0.527,0.41,1,0,0.4,0.6,-0.0215,0.06969697
S40A60,0.505,0.415,1,0,0.4,0.6,-0.022,0.06969697
S40A60,0.4825,0.42,1,0,0.4,0.6,-0.0225,0.06969697
S40A60,0.4595,0.425,1,0,0.4,0.6,-0.023,0.06969697
S40A60,0.436,0.43,1,0,0.4,0.6,-0.0235,0.06969697
S40A60,0.412,0.435,1,0,0.4,0.6,-0.024,0.06969697
S40A60,0.3875,0.44,1,0,0.4,0.6,-0.0245,0.06969697
S40A60,0.3625,0.445,1,0,0.4,0.6,-0.025,0.06969697
S40A60,0.337,0.45,1,0,0.4,0.6,-0.0255,0.06969697
S40A60,0.311,0.455,1,0,0.4,0.6,-0.026,0.06969697
S40A60,0.2845,0.46,1,0,0.4,0.6,-0.0265,0.06969697
S40A60,0.2575,0.465,1,0,0.4,0.6,-0.027,0.06969697
S40A60,0.23,0.47,1,0,0.4,0.6,-0.0275,0.06969697
S40A60,0.202,0.475,1,0,0.4,0.6,-0.028,0.06969697
